"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_fish","region"
"1231","Atanga","M170","F","Macao","Personne âgée",13311.2377146769,13414.890310879,13207.5851184748,7,2,"Macao"
"126","Kakélo2","M88","M","Bangui","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"1271","Malomba","M56","F","Macao","Personne âgée",NA,-Inf,-Inf,4,0,"Macao"
"1281","Kakélo4","M120","F","Bangui","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"1291","Boua2","M121","M","Bangui","Adulte",9011.84018413536,9372.23789720004,8919.50767534176,13,3,"Macao"
"1301","Kakélo1","M139","M","Bangui","Adulte",NA,-Inf,-Inf,12,0,"Macao"
"131","Moyimbi","M8","F","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"133","Kakélo1","M145","F","Bangui","Adulte",6877.51579948087,6877.51579948087,6877.51579948087,7,1,"Macao"
"1341","Kakélo6","M153","M","Bangui","Adulte",8148.95067736465,8148.95067736465,8148.95067736465,11,1,"Macao"
"1351","Kakélo5","M102","F","Bangui","FALSE",NA,-Inf,-Inf,2,0,"Macao"
"1361","Kakélo6","M104","F","Bangui","Adulte",2341.8448165916,10235.1190240658,349.832173975241,12,4,"Macao"
"1371","Boua2","M136","F","Bangui","Adulte",2139.85027524602,2139.85027524602,2139.85027524602,4,1,"Macao"
"139","Movossovosso","M82","F","Bangui","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
"1401","Kakélo3","M141","F","Bangui","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"143","Atanga","M175","F","Macao","FALSE",NA,-Inf,-Inf,1,0,"Macao"
"1441","Boua2","M71","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1491","Boua2","M70","M","Bangui","Adulte",NA,-Inf,-Inf,10,0,"Macao"
"151","Molapa_MA","M18","M","Macao","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"1581","Bateké2","M14","M","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"165","Kakélo3","M148","F","Bangui","Adulte",7234.46642718377,7234.46642718377,7234.46642718377,7,1,"Macao"
"1661","Kakélo1","M95","F","Bangui","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"167","Kakélo3","M98","M","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"1","Bonga2","M202","M","Bangui","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"211","Bonga2","M203","F","Bonga2","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"310","Bonga2","M204","F","Bonga2","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"414","Bonga2","M205","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"510","Bonga2","M401","F","Bangui","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"610","Bonga2","M206","F","Bonga2","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"712","Bonga2","M207","M","Bonga2","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"811","Bate","M208","M","Bate","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"1011","Bonga1","M210","M","","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"11","Bonga1","M211","F","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"1210","Bonga1","M212","M","Bangui","Adulte",53711.7164045175,55493.5094776667,51929.9233313682,9,2,"Macao"
"1311","Bonga1","M213","M","Bangui","Personne âgée",NA,-Inf,-Inf,6,0,"Macao"
"1410","Bonga1","M214","M","Bangui","Adulte",55493.5094776667,55493.5094776667,55493.5094776667,8,1,"Macao"
"201","Payo","M220","M","Bangui","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"2110","Payo","M221","F","","Personne âgée",55479.945073118,55479.945073118,55479.945073118,14,1,"Macao"
"221","Payo","M222","M","","Personne âgée",NA,-Inf,-Inf,4,0,"Macao"
"233","Payo","M223","F","","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"24","Payo","M224","M","Bangui","Adulte",NA,-Inf,-Inf,13,0,"Macao"
"26","Payo","M227","F","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"2710","Payo","M228","F","Djoube","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"28","Payo","M229","M","Bangui","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"29","Payo","M230","M","Macao","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"361","Bate","M237","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"376","Bate","M238","M","Bandza","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"382","Bete3","M239","M","Bangui","Adulte",NA,-Inf,-Inf,9,0,"Macao"
"392","Bete3","M240","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"403","Bete3","M241","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"419","Bete1","M242","M","Bangui","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"421","Bete1","M243","F","Mboule","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"431","Bete1","M244","F","Bangui","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"442","Bete1","M245","M","Bangui","Adulte",NA,-Inf,-Inf,10,0,"Macao"
"45","Payo","M246","M","Boua","Adulte",NA,-Inf,-Inf,9,0,"Macao"
"461","Payo","M247","F","","Personne âgée",NA,-Inf,-Inf,9,0,"Macao"
"471","Payo","M248","F","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"501","Bonga1","M251","","Mboule","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"511","Bete1","M252","F","Bangui","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"521","Bete1","M253","F","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"531","Bete1","M254","M","Bangui","Adolescent",NA,-Inf,-Inf,6,0,"Macao"
"541","Bete1","M255","F","Bangui","Adolescent",NA,-Inf,-Inf,4,0,"Macao"
"551","Payo","M257","F","Bangui","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"562","Bonga1","M258","F","Bangui","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"581","Bonga1","M259","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"592","Bonga1","M260","F","Bangui","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"601","Bonga1","M261","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"611","Bete2","M262","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"62","Bete2","M263","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"632","Bete2","M264","F","Bangui","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
"642","Bete2","M265","M","Bangui","Adulte",NA,-Inf,-Inf,14,0,"Macao"
"652","Bete2","M266","F","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"66","Bete2","M267","M","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"67","Bete3","M268","F","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"68","Bete2","M269","F","Bangui","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"70","Mboule","M271","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"713","Mboule","M272","M","Mboule","Adulte",NA,-Inf,-Inf,13,0,"Macao"
"72","Mboule","M273","F","Bangui","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"731","Mboule","M274","M","Mboule","Adolescent",NA,-Inf,-Inf,4,0,"Macao"
"74","Mboule","M275","M","Bangui","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"751","Mboule","M277","F","","Personne âgée",NA,-Inf,-Inf,11,0,"Macao"
"761","Mboule","M279","F","Mboule","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"772","Mboule","M278","M","Mboule","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"781","Mboule","M280","F","Mboule","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"792","Mboule","M281","F","Mboule","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"801","Mboule","M282","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"812","Mboule","M283","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"821","Mboule","M284","F","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"83","Mboule","M285","M","Bangui","Adolescent",NA,-Inf,-Inf,4,0,"Macao"
"842","Mboule","M286","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"851","Mboule","M287","F","Bangui","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"861","Goumakoungou2","M288","M","Mboule","Personne âgée",NA,-Inf,-Inf,10,0,"Macao"
"871","Goumakoungou2","M373","F","Bangui","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
"882","Goumakoungou2","M289","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"891","Goumakoungou2","M290","F","Bangui","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"901","Goumakoungou2","M291","M","Mboule","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"912","Goumakoungou2","M293","M","Bangui","",NA,-Inf,-Inf,2,0,"Macao"
"92","Goumakoungou2","M294","F","Bangui","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"931","Goumakoungou2","M295","F","Bangui","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"941","Keke","M296","M","Djoube","Adulte",31564.1086582054,31564.1086582054,31564.1086582054,10,1,"Macao"
"951","Keke","M297","F","Bangui","Adulte",31564.1086582054,31564.1086582054,31564.1086582054,2,1,"Macao"
"961","Mboule","M298","M","Bangui","Adolescent",NA,-Inf,-Inf,5,0,"Macao"
"992","Keke","M299","M","Djoube","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"1002","Keke","M300","F","Djoube","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"101","Keke","M301","M","Mboule","Adulte",NA,-Inf,-Inf,10,0,"Macao"
"1021","Keke","M302","F","","",NA,-Inf,-Inf,0,0,"Macao"
"1032","Keke","M303","F","Moumbelou","Adulte",40077.5884604152,40077.5884604152,40077.5884604152,3,1,"Macao"
"104","Keke","M503","F","Mboule","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"1052","Keke","M304","F","Bobate","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"1061","Keke","M305","M","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"107","Keke","M306","M","","Adulte",NA,-Inf,-Inf,10,0,"Macao"
"1082","Keke","M307","F","Mafoueté","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"109","Keke","M308","M","Bangui","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"110","Keke","M309","F","Bangui","Adulte",31564.1086582054,31564.1086582054,31564.1086582054,4,1,"Macao"
"111","Ngomo","M310","F","Mboule","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"1121","Ngomo","M311","F","Mboule","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"113","Ngomo","M312","M","Bangui","Adulte",NA,-Inf,-Inf,20,0,"Macao"
"1141","Ngomo","M313","M","Bangui","Adulte",38083.1812535356,38083.1812535356,38083.1812535356,11,1,"Macao"
"1151","Ngomo","M314","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"116","Ngomo","M315","M","Mboule","Adolescent",NA,-Inf,-Inf,6,0,"Macao"
"1171","Ngomo","M316","M","Bangui","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"1182","Midiba","M317","M","Bangui","Adolescent",NA,-Inf,-Inf,4,0,"Macao"
"1191","Bayamoto","M318","M","Bangui","Personne âgée",NA,-Inf,-Inf,11,0,"Macao"
"1201","Bayamoto","M319","F","Bangui","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"1211","Bayamoto","M321","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1221","Bayamoto","M322","M","Bangui","Adulte",NA,-Inf,-Inf,10,0,"Macao"
"1232","Bayamoto","M323","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"124","Bayamoto","M324","M","Bangui","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"1251","Bayamoto","M325","F","Bangui","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"1261","Lango","M326","F","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1272","Lango","M327","M","Zingo","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"1282","Lango","M328","M","Zingo","Personne âgée",59801.8278980298,59801.8278980298,59801.8278980298,26,1,"Macao"
"1292","Lango","M329","M","Macao","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"1302","Lango","M330","M","Macao","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"1312","Mbila_MA","M331","M","Bangui","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"132","Banga","M332","F","Macao","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"1331","Banga","M333","M","Seke","Adulte",1657583.13303803,1657583.13303803,1657583.13303803,13,1,"Macao"
"1342","Banga","M334","M","Bangui","Adulte",NA,-Inf,-Inf,10,0,"Macao"
"1352","Banga","M335","M","Seke","Adolescent",NA,-Inf,-Inf,4,0,"Macao"
"1362","Ndobalikanbo","M336","F","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"1372","Ndobalikanbo","M337","M","Macao","Adulte",NA,-Inf,-Inf,9,0,"Macao"
"138","Ndobalikanbo","M338","M","Macao","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"1391","Ndobalikanbo","M339","F","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"1402","Macao_camp1","M340","M","Thanry","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"141","Macao_camp1","M341","F","Nzingou","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1421","Macao_camp3","M342","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"1431","Macao_camp3","M343","F","Macao","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"1442","Macao_camp3","M344","M","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"145","Macao_camp3","M345","M","Macao","Adolescent",NA,-Inf,-Inf,7,1,"Macao"
"1461","Macao_camp5","M346","M","Macao","Personne âgée",NA,-Inf,-Inf,9,0,"Macao"
"147","Macao_camp5","M347","F","Djoube","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"148","Macao_camp4","M348","M","","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"1492","Macao_camp6","M349","F","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"150","Macao_camp1","M350","F","Zingo","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
"1511","Macao_camp7","M351","F","Macao","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"152","Macao_camp7","M352","M","","Adulte",NA,-Inf,-Inf,15,0,"Macao"
"153","Macao_camp6","M353","F","Pape_village","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"154","Macao_camp8","M354","F","Thanry","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"155","Macao_camp8","M355","M","Pape","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"1561","Macao_camp2","M356","","","",NA,-Inf,-Inf,0,0,"Macao"
"1571","Macao_camp9","M357","","Macao","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"1582","Macao_camp9","M359","M","Macao","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"1591","Macao_camp10","M360","F","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"160","Macao_camp4","M361","F","Macao","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"161","Pape_village","M362","M","Berandjokou","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"162","Macao_camp10","M363","M","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1631","Pape_village","M364","F","Pape_village","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"164","Pape_village","M365","M","Berandjokou","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"1651","Pape_village","M366","F","Pape_village","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"1662","Pape_village","M367","M","Bangui-motaba","Personne âgée",129049.520639194,129049.520639194,129049.520639194,14,1,"Macao"
"1671","Pape_village","M368","M","Pape_village","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"1681","Pape_village","M369","F","","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"1691","Pape_village","M370","F","","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"170","Pape_village","M370","F","Bangui","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"1711","Pape_village","M372","M","Pape_village","Personne âgée",NA,-Inf,-Inf,9,0,"Macao"
"1721","Bayamoto","M400","F","Bangui","",NA,-Inf,-Inf,0,0,"Macao"
"1731","Bete2","M375","","Bangui","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"174","Bete1","M374","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"175","Bylikombo1","MI205","M","Mossombo","Adulte",14378.8147186411,14378.8147186411,14378.8147186411,8,1,"Minganga"
"225","Bylikombo1","MI206","F","Mossombo","Adulte",14378.8147186411,14378.8147186411,14378.8147186411,5,1,"Minganga"
"315","Bylikombo1","MI209","F","Mossombo","Adulte",14378.8147186411,14378.8147186411,14378.8147186411,6,1,"Minganga"
"422","Bylikombo1","MI211","F","Mossombo","Adulte",14378.8147186411,14378.8147186411,14378.8147186411,6,1,"Minganga"
"512","Bylikombo1","MI212","M","Mossombo","Adolescent",14378.8147186411,14378.8147186411,14378.8147186411,8,1,"Minganga"
"612","Bylikombo2","MI210","F","Mossombo","Personne âgée",13563.5585566147,13563.5585566147,13563.5585566147,5,1,"Minganga"
"714","Bouma","MI154","M","Minganga","Adulte",NA,-Inf,-Inf,5,0,"Minganga"
"813","Bouma","MI155","F","Minganga","Adulte",NA,-Inf,-Inf,6,0,"Minganga"
"1313","Bouma","MI160","M","Mossombo","Adulte",NA,-Inf,-Inf,11,0,"Minganga"
"1411","Bouma","MI161","F","Impfondo","Adulte",NA,-Inf,-Inf,7,0,"Minganga"
"1510","Bouma","MI162","F","Mossombo","Personne âgée",NA,-Inf,-Inf,10,0,"Minganga"
"2010","Bouma","MI178","F","Mossombo","Adolescent",NA,-Inf,-Inf,4,0,"Minganga"
"2111","Bouma","MI179","F","Mossombo","Adolescent",NA,-Inf,-Inf,6,0,"Minganga"
"228","Bouma","MI180","F","Mossombo","Adulte",NA,-Inf,-Inf,6,0,"Minganga"
"235","Bouma","MI181","M","Mossombo","Adulte",NA,-Inf,-Inf,8,0,"Minganga"
"252","Bylikombo1","MI207","M","Mossombo","Adulte",14378.8147186411,14378.8147186411,14378.8147186411,9,1,"Minganga"
"261","Bylikombo1","MI208","F","Mossombo","Personne âgée",14378.8147186411,14378.8147186411,14378.8147186411,6,1,"Minganga"
"354","Bylikombo2","MI216","M","Mobangui","Adulte",13563.5585566147,13563.5585566147,13563.5585566147,11,1,"Minganga"
"405","Bylikombo2","MI226","F","Mossombo","Adulte",13563.5585566147,13563.5585566147,13563.5585566147,9,1,"Minganga"
"4110","Essesse","MI187","M","Mbili","Adulte",NA,-Inf,-Inf,8,0,"Minganga"
"423","Essesse","MI188","F","Mossombo","Adulte",NA,-Inf,-Inf,4,0,"Minganga"
"432","Essesse","MI189","F","Mossombo","Adolescent",NA,-Inf,-Inf,6,0,"Minganga"
"462","Essesse","MI192","F","Toukoulaka","Adolescent",214.303668917094,214.303668917094,214.303668917094,4,1,"Minganga"
"472","Essesse","MI193","F","Mossombo","Personne âgée",NA,-Inf,-Inf,0,0,"Minganga"
"48","Essesse","MI195","M","Mbili","Adulte",NA,-Inf,-Inf,5,0,"Minganga"
"491","Essesse","MI196","F","Mbili","Adolescent",NA,-Inf,-Inf,6,0,"Minganga"
"502","Essesse","MI197","F","Mbili","Adulte",NA,-Inf,-Inf,10,0,"Minganga"
"513","Essesse","MI198","F","Mbili","Adulte",NA,-Inf,-Inf,9,0,"Minganga"
"552","Essesse","MI227","","","",NA,-Inf,-Inf,0,0,"Minganga"
"563","Mbaya","MI202","F","","Adolescent",8166.58045220154,8166.58045220154,8166.58045220154,5,1,"Minganga"
"57","Mbaya","MI203","M","","Adolescent",8166.58045220154,8166.58045220154,8166.58045220154,5,1,"Minganga"
"582","Mbila","MI167","F","Mbili","Personne âgée",NA,-Inf,-Inf,6,0,"Minganga"
"593","Mbila","MI168","M","Mossombo","Adulte",NA,-Inf,-Inf,7,0,"Minganga"
"602","Mbila","MI169","F","Mbili","Adulte",NA,-Inf,-Inf,5,0,"Minganga"
"661","Mbila","MI175","M","Minganga","Adulte",NA,-Inf,-Inf,13,0,"Minganga"
"671","Mbila","MI176","F","Mossombo","Adulte",NA,-Inf,-Inf,6,0,"Minganga"
"681","Mbila","MI177","M","Mossombo","Adulte",NA,-Inf,-Inf,7,0,"Minganga"
"691","Misseké_MI","MI145","M","Attention","Adulte",16862.126657249,16862.126657249,16862.126657249,5,1,"Minganga"
"701","Misseké_MI","MI146","F","Attention","Adulte",16862.126657249,16862.126657249,16862.126657249,3,1,"Minganga"
"732","Misseké_MI","MI149","M","Ikelemba","Personne âgée",16862.126657249,16862.126657249,16862.126657249,6,1,"Minganga"
"741","Misseké_MI","MI150","M","Attention","Adulte",NA,-Inf,-Inf,5,0,"Minganga"
"752","Misseké_MI","MI151","F","Attention","Adulte",16862.126657249,16862.126657249,16862.126657249,5,1,"Minganga"
"782","Mongo","MI134","M","Minganga","Adulte",14674.5662616089,14674.5662616089,14674.5662616089,6,1,"Minganga"
"802","Mongo","MI136","F","Mossombo","Adulte",NA,-Inf,-Inf,5,0,"Minganga"
"814","Mongo","MI137","F","Mossombo","Personne âgée",NA,-Inf,-Inf,5,0,"Minganga"
"822","Mongo","MI138","M","Mbili","Adulte",14674.5662616089,14674.5662616089,14674.5662616089,6,1,"Minganga"
"872","Mongo","MI143","M","Mossombo","Adulte",14674.5662616089,14674.5662616089,14674.5662616089,6,1,"Minganga"
"883","Mossombo","MI144","M","Mossombo","Adulte",19519.0130261955,19519.0130261955,19519.0130261955,7,1,"Minganga"
"892","Ngata","MI182","F","Mbili","",NA,-Inf,-Inf,0,0,"Minganga"
"902","Ngata","MI183","F","Mbili","Personne âgée",NA,-Inf,-Inf,6,0,"Minganga"
"913","Ngata","MI184","M","Ikelemba","Adulte",NA,-Inf,-Inf,0,0,"Minganga"
"921","Ngata","MI185","M","Mbili","Adolescent",119.928896514866,119.928896514866,119.928896514866,10,1,"Minganga"
"229","Makossa1","MI10","M","Minganga","Adulte",17965.1632647885,17965.1632647885,17965.1632647885,23,1,"Minganga"
"815","VMA","MI105","F","Mbili","Personne âgée",16992.4332653818,16992.4332653818,16992.4332653818,5,1,"Minganga"
"914","VMA","MI106","F","Mossombo","Adulte",14779.5745511928,16992.4332653818,8977.81551371977,19,5,"Minganga"
"1012","Bokéya1","MI107","M","Attention","Adolescent",17818.8668747982,17818.8668747982,17818.8668747982,16,1,"Minganga"
"1212","Bokéya1","MI109","M","Attention","Adulte",15902.4603793189,16152.2522056469,9975.40314477158,19,5,"Minganga"
"1314","Makossa3","MI11","F","Mossombo","Personne âgée",NA,-Inf,-Inf,16,0,"Minganga"
"1412","Bokéya1","MI110","F","Toukoulaka","Adulte",13897.1350097849,17818.8668747982,9975.40314477158,18,2,"Minganga"
"1710","Bokéya1","MI113","M","Attention","Adulte",13871.6493828798,17818.8668747982,9975.40314477158,19,4,"Minganga"
"182","Moundouala1","MI114","M","","Adulte",18016.0218425999,19962.8730411335,10937.2744591185,19,5,"Minganga"
"199","Bokéya1","MI115","F","Bène","Adulte",17818.8668747982,17818.8668747982,17818.8668747982,19,1,"Minganga"
"2011","Bokéya1","MI116","F","Minganga","Adulte",15926.8813573637,17818.8668747982,9975.40314477158,18,6,"Minganga"
"2112","Moundouala1","MI117","F","Toukoulaka","Adulte",18132.5151240714,19962.8730411335,17965.1632647885,18,4,"Minganga"
"2410","Makossa3","MI12","F","Mossombo","Personne âgée",NA,-Inf,-Inf,19,0,"Minganga"
"2711","Ndémiko","MI122","F","Toukoulaka","Adulte",14916.4180819721,16682.4570713522,14767.9270951954,19,4,"Minganga"
"281","Ndémiko","MI123","M","Minganga","Adulte",14916.4180819721,16682.4570713522,14767.9270951954,27,4,"Minganga"
"30","Ndémiko","MI125","M","Attention","Adulte",16682.4570713522,16682.4570713522,16682.4570713522,19,1,"Minganga"
"316","Ndémiko","MI126","M","Attention","Adolescent",14767.9270951954,16682.4570713522,7283.85752063297,19,7,"Minganga"
"322","Epopé","MI127","M","Attention","Adulte",19647.3839041298,19647.3839041298,19647.3839041298,20,1,"Minganga"
"332","Ndémiko","MI128","F","Attention","Adulte",16682.4570713522,16682.4570713522,16682.4570713522,19,1,"Minganga"
"341","Ndémiko","MI129","F","Bène","Adulte",16682.4570713522,16682.4570713522,16682.4570713522,18,1,"Minganga"
"355","Makossa1","MI13","F","Minganga","Adulte",NA,-Inf,-Inf,12,0,"Minganga"
"394","Epopé","MI133","F","Minganga","Adulte",19647.3839041298,19647.3839041298,19647.3839041298,22,1,"Minganga"
"4111","Mbaya","MI15","F","Mbili","Adolescent",NA,-Inf,-Inf,13,0,"Minganga"
"433","Mbaya","MI17","M","Mossombo","Personne âgée",6155.48975801982,8166.58045220154,5885.9973622766,27,4,"Minganga"
"443","Mbaya","MI18","F","Mbili","Adulte",10628.759322427,13090.9381926525,8166.58045220154,19,2,"Minganga"
"451","VMA","MI19","M","Minganga","Adolescent",NA,-Inf,-Inf,18,0,"Minganga"
"473","Mbaya","MI20","F","Mbaya","Adolescent",8166.58045220154,8166.58045220154,8166.58045220154,11,1,"Minganga"
"481","Mbaya","MI21","F","Mossombo","Personne âgée",6155.48975801982,8166.58045220154,5885.9973622766,17,4,"Minganga"
"492","Mbaya","MI22","M","Minganga","Adulte",8166.58045220154,8166.58045220154,8166.58045220154,20,1,"Minganga"
"522","VMA","MI25","M","Minganga","Personne âgée",12043.7477284257,16992.4332653818,7095.06219146973,14,2,"Minganga"
"532","VMA","MI26","F","Minganga","Personne âgée",14779.5745511928,15161.8323621648,14723.2585856623,12,3,"Minganga"
"542","Bylikombo2","MI27","F","Minganga","Adolescent",NA,-Inf,-Inf,0,0,"Minganga"
"553","Bylikombo2","MI28","F","Minganga","Personne âgée",NA,-Inf,-Inf,14,0,"Minganga"
"564","Bylikombo2","MI29","M","Minganga","Adulte",13563.5585566147,13563.5585566147,13563.5585566147,14,1,"Minganga"
"571","Makossa3","MI3","F","","Adolescent",NA,-Inf,-Inf,0,0,"Minganga"
"583","Avocat","MI30","M","Toukoulaka","Adolescent",NA,-Inf,-Inf,21,0,"Minganga"
"594","Epopé","MI31","F","Toukoulaka","Personne âgée",3250.392007215,3250.392007215,3250.392007215,19,1,"Minganga"
"603","Avocat","MI32","M","Attention","Adolescent",NA,-Inf,-Inf,6,0,"Minganga"
"613","Avocat","MI34","M","Toukoulaka","Adolescent",NA,-Inf,-Inf,22,0,"Minganga"
"653","Avocat","MI38","F","Attention","Adulte",9973.79790889685,16841.5392411834,3106.05657661027,21,2,"Minganga"
"662","Avocat","MI39","M","Attention","Adulte",7307.86802039352,16841.5392411834,3106.05657661027,21,3,"Minganga"
"692","Avocat","MI41","M","Minganga","Personne âgée",9973.79790889685,16841.5392411834,3106.05657661027,25,2,"Minganga"
"702","Avocat","MI42","F","Attention","Adolescent",NA,-Inf,-Inf,0,0,"Minganga"
"715","Avocat","MI43","F","Attention","Adulte",NA,-Inf,-Inf,19,0,"Minganga"
