"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_bantu_work","region"
"1051","Boua1","M67","M","Bangui","Adulte",35676.1316210387,48740.7224788328,22611.5407632446,10,2,"Macao"
"106","Atanga","M171","F","Macao","Adulte",NA,-Inf,-Inf,14,0,"Macao"
"1081","Kakélo6","M159","F","Bangui","Adulte",50376.2539772928,50376.2539772928,50376.2539772928,9,1,"Macao"
"112","Bateké2","M16","F","Moudjanda","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
"115","Atanga","M176","F","Thanry","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"117","Molapa_MA","M19","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"1181","Boua1","M62","M","Bangui","Personne âgée",110398.24097244,125796.580993017,94999.900951864,5,2,"Macao"
"120","Boua1","M69","M","Bangui","Adulte",89004.8307634215,89004.8307634215,89004.8307634215,4,1,"Macao"
"122","Kakélo6","M158","M","Bangui","Adulte",26586.5988673144,50376.2539772928,2796.94375733602,7,2,"Macao"
"1231","Atanga","M170","F","Macao","Personne âgée",NA,-Inf,-Inf,7,0,"Macao"
"126","Kakélo2","M88","M","Bangui","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"1271","Malomba","M56","F","Macao","Personne âgée",NA,-Inf,-Inf,4,0,"Macao"
"1281","Kakélo4","M120","F","Bangui","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"1291","Boua2","M121","M","Bangui","Adulte",71882.9063153409,170037.463520114,40909.4204302595,13,4,"Macao"
"1301","Kakélo1","M139","M","Bangui","Adulte",101661.369394735,162788.934773936,40533.8040155325,12,2,"Macao"
"131","Moyimbi","M8","F","Macao","Adulte",8325.18714944852,8325.18714944852,8325.18714944852,1,1,"Macao"
"133","Kakélo1","M145","F","Bangui","Adulte",93888.6320769628,93888.6320769628,93888.6320769628,7,1,"Macao"
"1341","Kakélo6","M153","M","Bangui","Adulte",45682.5360534188,50376.2539772928,40988.8181295447,11,2,"Macao"
"1351","Kakélo5","M102","F","Bangui","FALSE",27304.8179108581,27304.8179108581,27304.8179108581,2,1,"Macao"
"1361","Kakélo6","M104","F","Bangui","Adulte",NA,-Inf,-Inf,12,0,"Macao"
"1371","Boua2","M136","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"139","Movossovosso","M82","F","Bangui","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
"1401","Kakélo3","M141","F","Bangui","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"143","Atanga","M175","F","Macao","FALSE",NA,-Inf,-Inf,1,0,"Macao"
"1441","Boua2","M71","F","Bangui","Adulte",95051.2893869942,95051.2893869942,95051.2893869942,2,1,"Macao"
"1491","Boua2","M70","M","Bangui","Adulte",95051.2893869942,95051.2893869942,95051.2893869942,10,1,"Macao"
"151","Molapa_MA","M18","M","Macao","Adulte",124296.882980867,133383.076910343,115210.68905139,7,2,"Macao"
"1581","Bateké2","M14","M","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"165","Kakélo3","M148","F","Bangui","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"1661","Kakélo1","M95","F","Bangui","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"167","Kakélo3","M98","M","Bangui","Adulte",NA,-Inf,-Inf,6,0,"Macao"
"1","Bonga2","M202","M","Bangui","Adulte",96905.630405279,128375.313917929,80327.6466141472,7,4,"Macao"
"211","Bonga2","M203","F","Bonga2","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"310","Bonga2","M204","F","Bonga2","Adulte",104829.204013604,163069.420712733,46588.987314476,4,3,"Macao"
"414","Bonga2","M205","F","Bangui","Adulte",23977.3259065255,46588.987314476,1365.664498575,2,2,"Macao"
"510","Bonga2","M401","F","Bangui","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"610","Bonga2","M206","F","Bonga2","Personne âgée",46588.987314476,46588.987314476,46588.987314476,2,1,"Macao"
"712","Bonga2","M207","M","Bonga2","Adulte",46588.987314476,46588.987314476,46588.987314476,2,1,"Macao"
"811","Bate","M208","M","Bate","Adulte",96863.5700178281,128341.492227516,46629.5862509959,5,3,"Macao"
"1011","Bonga1","M210","M","","Adulte",46200.1960374823,46200.1960374823,46200.1960374823,3,2,"Macao"
"11","Bonga1","M211","F","Bangui","Adulte",31593.2030496297,46200.1960374823,16986.2100617771,3,3,"Macao"
"1210","Bonga1","M212","M","Bangui","Adulte",84634.0048691466,162607.79570266,16986.2100617771,9,7,"Macao"
"1311","Bonga1","M213","M","Bangui","Personne âgée",88434.4374310807,128653.31795126,16986.2100617771,6,5,"Macao"
"1410","Bonga1","M214","M","Bangui","Adulte",88434.4374310807,128653.31795126,16986.2100617771,8,6,"Macao"
"201","Payo","M220","M","Bangui","Adolescent",104448.611633586,162756.001455586,46141.221811587,3,3,"Macao"
"2110","Payo","M221","F","","Personne âgée",67300.7278287845,128746.532594066,1597.3212503376,14,6,"Macao"
"221","Payo","M222","M","","Personne âgée",NA,-Inf,-Inf,4,0,"Macao"
"233","Payo","M223","F","","Adulte",95693.2295007648,145245.237189943,46141.221811587,6,2,"Macao"
"24","Payo","M224","M","Bangui","Adulte",74729.9697485511,162756.001455586,16936.2617916787,13,7,"Macao"
"26","Payo","M227","F","Bangui","Adulte",16936.2617916787,145245.237189943,1597.3212503376,6,4,"Macao"
"2710","Payo","M228","F","Djoube","Adulte",46141.221811587,162756.001455586,16936.2617916787,5,3,"Macao"
"28","Payo","M229","M","Bangui","Adulte",67300.7278287845,162756.001455586,1597.3212503376,8,5,"Macao"
"29","Payo","M230","M","Macao","Adulte",162756.001455586,171279.944889144,1597.3212503376,7,3,"Macao"
"361","Bate","M237","F","Bangui","Adulte",32036.0489590948,46629.5862509959,17442.5116671937,4,2,"Macao"
"376","Bate","M238","M","Bandza","Adulte",17442.5116671937,17442.5116671937,17442.5116671937,3,2,"Macao"
"382","Bete3","M239","M","Bangui","Adulte",17120.3646064758,17120.3646064758,17120.3646064758,9,1,"Macao"
"392","Bete3","M240","F","Bangui","Adulte",17120.3646064758,46327.0918961585,1418.61090347273,4,4,"Macao"
"403","Bete3","M241","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"419","Bete1","M242","M","Bangui","Adulte",89088.5835890528,162643.817613059,16970.6482150737,8,4,"Macao"
"421","Bete1","M243","F","Mboule","Adulte",NA,-Inf,-Inf,5,0,"Macao"
"431","Bete1","M244","F","Bangui","Personne âgée",31576.5761453479,46182.5040756221,16970.6482150737,3,3,"Macao"
"442","Bete1","M245","M","Bangui","Adulte",128679.258352249,128679.258352249,128679.258352249,10,1,"Macao"
"45","Payo","M246","M","Boua","Adulte",121797.044258481,162756.001455586,80838.0870613755,9,3,"Macao"
"461","Payo","M247","F","","Personne âgée",48887.1744265271,80838.0870613755,16936.2617916787,9,2,"Macao"
"471","Payo","M248","F","Bangui","Adulte",16936.2617916787,16936.2617916787,16936.2617916787,3,2,"Macao"
"501","Bonga1","M251","","Mboule","Adulte",46200.1960374823,46200.1960374823,46200.1960374823,4,1,"Macao"
"511","Bete1","M252","F","Bangui","Adolescent",23848.8159594874,46182.5040756221,1515.12784335266,3,3,"Macao"
"521","Bete1","M253","F","Bangui","Adulte",9242.88802921319,16970.6482150737,1515.12784335266,6,2,"Macao"
"531","Bete1","M254","M","Bangui","Adolescent",9242.88802921319,16970.6482150737,1515.12784335266,6,2,"Macao"
"541","Bete1","M255","F","Bangui","Adolescent",16970.6482150737,46182.5040756221,1515.12784335266,4,4,"Macao"
"551","Payo","M257","F","Bangui","Adolescent",46141.221811587,46141.221811587,46141.221811587,2,2,"Macao"
"562","Bonga1","M258","F","Bangui","Personne âgée",9235.94835514658,16986.2100617771,1485.68664851611,3,2,"Macao"
"581","Bonga1","M259","F","Bangui","Adulte",16986.2100617771,16986.2100617771,16986.2100617771,4,1,"Macao"
"592","Bonga1","M260","F","Bangui","Adulte",108676.011668348,246301.029748941,16986.2100617771,7,5,"Macao"
"601","Bonga1","M261","F","Bangui","Adulte",31593.2030496297,46200.1960374823,16986.2100617771,4,2,"Macao"
"611","Bete2","M262","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"62","Bete2","M263","F","Bangui","Adulte",1394.7841456143,1394.7841456143,1394.7841456143,2,1,"Macao"
"632","Bete2","M264","F","Bangui","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
"642","Bete2","M265","M","Bangui","Adulte",97133.0683554762,128848.963596744,46378.5853212635,14,4,"Macao"
"652","Bete2","M266","F","Bangui","Adulte",9284.70460299144,17174.6250603686,1394.7841456143,3,2,"Macao"
"66","Bete2","M267","M","Bangui","Adulte",98678.5312331403,162803.755937329,42542.6426042964,6,5,"Macao"
"67","Bete3","M268","F","Bangui","Adulte",46327.0918961585,46327.0918961585,46327.0918961585,3,1,"Macao"
"68","Bete2","M269","F","Bangui","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"70","Mboule","M271","M","Bangui","Adulte",18101.5448824699,18101.5448824699,18101.5448824699,3,1,"Macao"
"713","Mboule","M272","M","Mboule","Adulte",127584.265225484,162783.362082754,18101.5448824699,13,6,"Macao"
"72","Mboule","M273","F","Bangui","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"731","Mboule","M274","M","Mboule","Adolescent",23967.3897227392,47313.7964735886,620.982971889788,4,3,"Macao"
"74","Mboule","M275","M","Bangui","Personne âgée",620.982971889788,620.982971889788,620.982971889788,2,2,"Macao"
"751","Mboule","M277","F","","Personne âgée",47313.7964735886,47313.7964735886,47313.7964735886,11,1,"Macao"
"761","Mboule","M279","F","Mboule","Adulte",9361.26392717986,18101.5448824699,620.982971889788,2,2,"Macao"
"772","Mboule","M278","M","Mboule","Adulte",18101.5448824699,18101.5448824699,18101.5448824699,2,1,"Macao"
"781","Mboule","M280","F","Mboule","Adulte",23967.3897227392,47313.7964735886,620.982971889788,4,3,"Macao"
"792","Mboule","M281","F","Mboule","Adulte",32707.6706780292,47313.7964735886,18101.5448824699,6,2,"Macao"
"801","Mboule","M282","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"812","Mboule","M283","F","Bangui","Adulte",18101.5448824699,18101.5448824699,18101.5448824699,2,1,"Macao"
"821","Mboule","M284","F","Bangui","Adulte",66690.5300425148,115279.51520256,18101.5448824699,3,2,"Macao"
"83","Mboule","M285","M","Bangui","Adolescent",32707.6706780292,47313.7964735886,18101.5448824699,4,2,"Macao"
"842","Mboule","M286","F","Bangui","Adulte",9361.26392717986,18101.5448824699,620.982971889788,2,2,"Macao"
"851","Mboule","M287","F","Bangui","Adolescent",47313.7964735886,47313.7964735886,47313.7964735886,3,1,"Macao"
"861","Goumakoungou2","M288","M","Mboule","Personne âgée",55191.4663033573,72855.8543454831,25941.248316406,10,3,"Macao"
"871","Goumakoungou2","M373","F","Bangui","Personne âgée",NA,-Inf,-Inf,1,0,"Macao"
"882","Goumakoungou2","M289","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"891","Goumakoungou2","M290","F","Bangui","Personne âgée",25941.248316406,25941.248316406,25941.248316406,3,2,"Macao"
"901","Goumakoungou2","M291","M","Mboule","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"912","Goumakoungou2","M293","M","Bangui","",55191.4663033573,55191.4663033573,55191.4663033573,2,1,"Macao"
"92","Goumakoungou2","M294","F","Bangui","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"931","Goumakoungou2","M295","F","Bangui","Adolescent",55191.4663033573,55191.4663033573,55191.4663033573,2,1,"Macao"
"941","Keke","M296","M","Djoube","Adulte",113957.712040218,159480.715769916,60318.7114715386,10,3,"Macao"
"951","Keke","M297","F","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"961","Mboule","M298","M","Bangui","Adolescent",105048.579278171,162783.362082754,47313.7964735886,5,3,"Macao"
"992","Keke","M299","M","Djoube","Adulte",31564.1086582054,31564.1086582054,31564.1086582054,7,1,"Macao"
"1002","Keke","M300","F","Djoube","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"101","Keke","M301","M","Mboule","Adulte",159480.715769916,159480.715769916,159480.715769916,10,1,"Macao"
"1021","Keke","M302","F","","",NA,-Inf,-Inf,0,0,"Macao"
"1032","Keke","M303","F","Moumbelou","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"104","Keke","M503","F","Mboule","Personne âgée",NA,-Inf,-Inf,0,0,"Macao"
"1052","Keke","M304","F","Bobate","Adulte",60318.7114715386,60318.7114715386,60318.7114715386,4,2,"Macao"
"1061","Keke","M305","M","Bangui","Adulte",50198.1499659769,60318.7114715386,40077.5884604152,6,2,"Macao"
"107","Keke","M306","M","","Adulte",84126.3555966069,113957.712040218,60318.7114715386,10,4,"Macao"
"1082","Keke","M307","F","Mafoueté","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"109","Keke","M308","M","Bangui","Adulte",147578.232251353,234837.753031167,60318.7114715386,5,2,"Macao"
"110","Keke","M309","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"111","Ngomo","M310","F","Mboule","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"1121","Ngomo","M311","F","Mboule","Adulte",52064.119141195,52064.119141195,52064.119141195,2,1,"Macao"
"113","Ngomo","M312","M","Bangui","Adulte",91263.8258713469,294224.696967563,46096.5748835738,20,10,"Macao"
"1141","Ngomo","M313","M","Bangui","Adulte",120286.100111028,160309.679299901,52064.119141195,11,4,"Macao"
"1151","Ngomo","M314","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"116","Ngomo","M315","M","Mboule","Adolescent",106186.899220548,160309.679299901,52064.119141195,6,2,"Macao"
"1171","Ngomo","M316","M","Bangui","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"1182","Midiba","M317","M","Bangui","Adolescent",54392.8463292747,119856.039088623,36567.8118145946,4,3,"Macao"
"1191","Bayamoto","M318","M","Bangui","Personne âgée",73447.0797880232,122462.661620186,22570.6280391502,11,6,"Macao"
"1201","Bayamoto","M319","F","Bangui","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"1211","Bayamoto","M321","F","Bangui","Adulte",NA,-Inf,-Inf,2,1,"Macao"
"1221","Bayamoto","M322","M","Bangui","Adulte",66128.7443666274,157431.834866536,39774.7497277719,10,8,"Macao"
"1232","Bayamoto","M323","M","Bangui","Adulte",157431.834866536,157431.834866536,157431.834866536,3,2,"Macao"
"124","Bayamoto","M324","M","Bangui","Adolescent",104518.350593326,157431.834866536,51604.8663201156,3,2,"Macao"
"1251","Bayamoto","M325","F","Bangui","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"1261","Lango","M326","F","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1272","Lango","M327","M","Zingo","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"1282","Lango","M328","M","Zingo","Personne âgée",101694.932137391,794009.033914785,18778.5796982756,26,11,"Macao"
"1292","Lango","M329","M","Macao","Adulte",118411.556825984,118411.556825984,118411.556825984,4,1,"Macao"
"1302","Lango","M330","M","Macao","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"1312","Mbila_MA","M331","M","Bangui","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"132","Banga","M332","F","Macao","Adulte",94191.6335303777,94191.6335303777,94191.6335303777,3,1,"Macao"
"1331","Banga","M333","M","Seke","Adulte",206746.064598063,249231.163279127,84658.9978145577,13,3,"Macao"
"1342","Banga","M334","M","Bangui","Adulte",158638.467124509,215486.526093233,84658.9978145577,10,7,"Macao"
"1352","Banga","M335","M","Seke","Adolescent",84658.9978145577,84658.9978145577,84658.9978145577,4,1,"Macao"
"1362","Ndobalikanbo","M336","F","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"1372","Ndobalikanbo","M337","M","Macao","Adulte",116310.02162302,162743.380978679,16122.9787285725,9,4,"Macao"
"138","Ndobalikanbo","M338","M","Macao","Adulte",62638.1168698498,162743.380978679,16122.9787285725,5,3,"Macao"
"1391","Ndobalikanbo","M339","F","Macao","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"1402","Macao_camp1","M340","M","Thanry","Adulte",161233.488169065,161233.488169065,161233.488169065,5,1,"Macao"
"141","Macao_camp1","M341","F","Nzingou","Adulte",NA,-Inf,-Inf,2,1,"Macao"
"1421","Macao_camp3","M342","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"1431","Macao_camp3","M343","F","Macao","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"1442","Macao_camp3","M344","M","Bangui","Adulte",117675.271945395,117675.271945395,117675.271945395,6,1,"Macao"
"145","Macao_camp3","M345","M","Macao","Adolescent",NA,-Inf,-Inf,7,0,"Macao"
"1461","Macao_camp5","M346","M","Macao","Personne âgée",NA,-Inf,-Inf,9,0,"Macao"
"147","Macao_camp5","M347","F","Djoube","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"148","Macao_camp4","M348","M","","Adulte",NA,-Inf,-Inf,6,1,"Macao"
"1492","Macao_camp6","M349","F","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"150","Macao_camp1","M350","F","Zingo","Personne âgée",NA,-Inf,-Inf,1,1,"Macao"
"1511","Macao_camp7","M351","F","Macao","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"152","Macao_camp7","M352","M","","Adulte",113004.13908477,255488.194937006,60205.3643829328,15,10,"Macao"
"153","Macao_camp6","M353","F","Pape_village","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"154","Macao_camp8","M354","F","Thanry","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"155","Macao_camp8","M355","M","Pape","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"1561","Macao_camp2","M356","","","",NA,-Inf,-Inf,0,0,"Macao"
"1571","Macao_camp9","M357","","Macao","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"1582","Macao_camp9","M359","M","Macao","Adulte",68701.5987983404,118300.640981196,19102.5566154844,6,2,"Macao"
"1591","Macao_camp10","M360","F","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"160","Macao_camp4","M361","F","Macao","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"161","Pape_village","M362","M","Berandjokou","Adulte",86026.7806383533,86026.7806383533,86026.7806383533,2,1,"Macao"
"162","Macao_camp10","M363","M","Macao","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"1631","Pape_village","M364","F","Pape_village","Adolescent",NA,-Inf,-Inf,3,1,"Macao"
"164","Pape_village","M365","M","Berandjokou","Adolescent",NA,-Inf,-Inf,1,0,"Macao"
"1651","Pape_village","M366","F","Pape_village","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"1662","Pape_village","M367","M","Bangui-motaba","Personne âgée",128239.775692272,128239.775692272,128239.775692272,14,1,"Macao"
"1671","Pape_village","M368","M","Pape_village","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"1681","Pape_village","M369","F","","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"1691","Pape_village","M370","F","","Adulte",46777.5163593986,46777.5163593986,46777.5163593986,3,1,"Macao"
"170","Pape_village","M370","F","Bangui","Personne âgée",46777.5163593986,46777.5163593986,46777.5163593986,3,2,"Macao"
"1711","Pape_village","M372","M","Pape_village","Personne âgée",129440.335290371,145979.731803506,96704.9518099453,9,4,"Macao"
"1721","Bayamoto","M400","F","Bangui","",NA,-Inf,-Inf,0,0,"Macao"
"1731","Bete2","M375","","Bangui","Adolescent",NA,-Inf,-Inf,2,0,"Macao"
"174","Bete1","M374","M","Bangui","Adulte",23848.8159594874,46182.5040756221,1515.12784335266,3,2,"Macao"
"175","Bylikombo1","MI205","M","Mossombo","Adulte",88474.9607795622,101077.368882392,75872.5526767324,8,2,"Minganga"
"225","Bylikombo1","MI206","F","Mossombo","Adulte",NA,-Inf,-Inf,5,0,"Minganga"
"315","Bylikombo1","MI209","F","Mossombo","Adulte",NA,-Inf,-Inf,6,0,"Minganga"
"422","Bylikombo1","MI211","F","Mossombo","Adulte",1037.58379207382,1037.58379207382,1037.58379207382,6,1,"Minganga"
"512","Bylikombo1","MI212","M","Mossombo","Adolescent",101077.368882392,101077.368882392,101077.368882392,8,1,"Minganga"
"612","Bylikombo2","MI210","F","Mossombo","Personne âgée",NA,-Inf,-Inf,5,0,"Minganga"
"714","Bouma","MI154","M","Minganga","Adulte",NA,-Inf,-Inf,5,0,"Minganga"
"813","Bouma","MI155","F","Minganga","Adulte",27984.5061024109,27984.5061024109,27984.5061024109,6,1,"Minganga"
"1313","Bouma","MI160","M","Mossombo","Adulte",86128.8515986994,155690.072611605,27984.5061024109,11,3,"Minganga"
"1411","Bouma","MI161","F","Impfondo","Adulte",27984.5061024109,27984.5061024109,27984.5061024109,7,1,"Minganga"
"1510","Bouma","MI162","F","Mossombo","Personne âgée",27984.5061024109,27984.5061024109,27984.5061024109,10,1,"Minganga"
"2010","Bouma","MI178","F","Mossombo","Adolescent",NA,-Inf,-Inf,4,0,"Minganga"
"2111","Bouma","MI179","F","Mossombo","Adolescent",NA,-Inf,-Inf,6,0,"Minganga"
"228","Bouma","MI180","F","Mossombo","Adulte",NA,-Inf,-Inf,6,0,"Minganga"
"235","Bouma","MI181","M","Mossombo","Adulte",86128.8515986994,86128.8515986994,86128.8515986994,8,1,"Minganga"
"252","Bylikombo1","MI207","M","Mossombo","Adulte",56819.200809908,99015.8056074964,14622.5960123195,9,2,"Minganga"
"261","Bylikombo1","MI208","F","Mossombo","Personne âgée",NA,-Inf,-Inf,6,0,"Minganga"
"354","Bylikombo2","MI216","M","Mobangui","Adulte",86846.9964712388,98639.454792017,75054.5381504606,11,2,"Minganga"
"405","Bylikombo2","MI226","F","Mossombo","Adulte",15503.8883848124,15503.8883848124,15503.8883848124,9,1,"Minganga"
"4110","Essesse","MI187","M","Mbili","Adulte",111713.750372596,137465.350036939,85962.1507082522,8,2,"Minganga"
"423","Essesse","MI188","F","Mossombo","Adulte",28173.8878017831,28173.8878017831,28173.8878017831,4,1,"Minganga"
"432","Essesse","MI189","F","Mossombo","Adolescent",NA,-Inf,-Inf,6,0,"Minganga"
"462","Essesse","MI192","F","Toukoulaka","Adolescent",28173.8878017831,28173.8878017831,28173.8878017831,4,1,"Minganga"
"472","Essesse","MI193","F","Mossombo","Personne âgée",NA,-Inf,-Inf,0,0,"Minganga"
"48","Essesse","MI195","M","Mbili","Adulte",61288.2741304611,61288.2741304611,61288.2741304611,5,1,"Minganga"
"491","Essesse","MI196","F","Mbili","Adolescent",37056.2834914006,61288.2741304611,28173.8878017831,6,3,"Minganga"
"502","Essesse","MI197","F","Mbili","Adulte",NA,-Inf,-Inf,10,0,"Minganga"
"513","Essesse","MI198","F","Mbili","Adulte",NA,-Inf,-Inf,9,0,"Minganga"
"552","Essesse","MI227","","","",NA,-Inf,-Inf,0,0,"Minganga"
"563","Mbaya","MI202","F","","Adolescent",NA,-Inf,-Inf,5,0,"Minganga"
"57","Mbaya","MI203","M","","Adolescent",69643.1004311899,69643.1004311899,69643.1004311899,5,1,"Minganga"
"582","Mbila","MI167","F","Mbili","Personne âgée",NA,-Inf,-Inf,6,0,"Minganga"
"593","Mbila","MI168","M","Mossombo","Adulte",36694.1180608076,91908.4937194605,27946.1628586738,7,3,"Minganga"
"602","Mbila","MI169","F","Mbili","Adulte",NA,-Inf,-Inf,5,0,"Minganga"
"661","Mbila","MI175","M","Minganga","Adulte",36841.5597820256,36841.5597820256,36841.5597820256,13,1,"Minganga"
"671","Mbila","MI176","F","Mossombo","Adulte",NA,-Inf,-Inf,6,0,"Minganga"
"681","Mbila","MI177","M","Mossombo","Adulte",NA,-Inf,-Inf,7,0,"Minganga"
"691","Misseké_MI","MI145","M","Attention","Adulte",NA,-Inf,-Inf,5,0,"Minganga"
"701","Misseké_MI","MI146","F","Attention","Adulte",17117.8989489782,17117.8989489782,17117.8989489782,3,1,"Minganga"
"732","Misseké_MI","MI149","M","Ikelemba","Personne âgée",NA,-Inf,-Inf,6,0,"Minganga"
"741","Misseké_MI","MI150","M","Attention","Adulte",23633.8134814937,73423.0076580283,22849.662017912,5,3,"Minganga"
"752","Misseké_MI","MI151","F","Attention","Adulte",73423.0076580283,73423.0076580283,73423.0076580283,5,1,"Minganga"
"782","Mongo","MI134","M","Minganga","Adulte",NA,-Inf,-Inf,6,0,"Minganga"
"802","Mongo","MI136","F","Mossombo","Adulte",NA,-Inf,-Inf,5,0,"Minganga"
"814","Mongo","MI137","F","Mossombo","Personne âgée",NA,-Inf,-Inf,5,0,"Minganga"
"822","Mongo","MI138","M","Mbili","Adulte",NA,-Inf,-Inf,6,0,"Minganga"
"872","Mongo","MI143","M","Mossombo","Adulte",75418.3640866476,75418.3640866476,75418.3640866476,6,1,"Minganga"
"883","Mossombo","MI144","M","Mossombo","Adulte",80668.5832116848,118722.969081108,8565.79159249428,7,3,"Minganga"
"892","Ngata","MI182","F","Mbili","",NA,-Inf,-Inf,0,0,"Minganga"
"902","Ngata","MI183","F","Mbili","Personne âgée",32342.2960622868,36793.045491175,27891.5466333987,6,2,"Minganga"
"913","Ngata","MI184","M","Ikelemba","Adulte",NA,-Inf,-Inf,0,0,"Minganga"
"921","Ngata","MI185","M","Mbili","Adolescent",NA,-Inf,-Inf,10,0,"Minganga"
"229","Makossa1","MI10","M","Minganga","Adulte",93185.9217338071,93185.9217338071,93185.9217338071,23,1,"Minganga"
"815","VMA","MI105","F","Mbili","Personne âgée",NA,-Inf,-Inf,5,0,"Minganga"
"914","VMA","MI106","F","Mossombo","Adulte",NA,-Inf,-Inf,19,0,"Minganga"
"1012","Bokéya1","MI107","M","Attention","Adolescent",NA,-Inf,-Inf,16,0,"Minganga"
"1212","Bokéya1","MI109","M","Attention","Adulte",77553.7986320028,77553.7986320028,77553.7986320028,19,1,"Minganga"
"1314","Makossa3","MI11","F","Mossombo","Personne âgée",35122.9771189301,63316.2681569639,35003.8117668715,16,3,"Minganga"
"1412","Bokéya1","MI110","F","Toukoulaka","Adulte",NA,-Inf,-Inf,18,0,"Minganga"
"1710","Bokéya1","MI113","M","Attention","Adulte",77553.7986320028,77553.7986320028,77553.7986320028,19,1,"Minganga"
"182","Moundouala1","MI114","M","","Adulte",79973.4540143441,79973.4540143441,79973.4540143441,19,1,"Minganga"
"199","Bokéya1","MI115","F","Bène","Adulte",48300.8295878823,77553.7986320028,19047.8605437617,19,2,"Minganga"
"2011","Bokéya1","MI116","F","Minganga","Adulte",15257.6004210621,19047.8605437617,11467.3402983625,18,2,"Minganga"
"2112","Moundouala1","MI117","F","Toukoulaka","Adulte",NA,-Inf,-Inf,18,0,"Minganga"
"2410","Makossa3","MI12","F","Mossombo","Personne âgée",NA,-Inf,-Inf,19,0,"Minganga"
"2711","Ndémiko","MI122","F","Toukoulaka","Adulte",76513.4345967005,76513.4345967005,76513.4345967005,19,1,"Minganga"
"281","Ndémiko","MI123","M","Minganga","Adulte",91881.5500395688,107249.665482437,76513.4345967005,27,2,"Minganga"
"30","Ndémiko","MI125","M","Attention","Adulte",76513.4345967005,76513.4345967005,76513.4345967005,19,1,"Minganga"
"316","Ndémiko","MI126","M","Attention","Adolescent",NA,-Inf,-Inf,19,0,"Minganga"
"322","Epopé","MI127","M","Attention","Adulte",9175.1061717803,9175.1061717803,9175.1061717803,20,1,"Minganga"
"332","Ndémiko","MI128","F","Attention","Adulte",20488.4030588227,20488.4030588227,20488.4030588227,19,1,"Minganga"
"341","Ndémiko","MI129","F","Bène","Adulte",20488.4030588227,20488.4030588227,20488.4030588227,18,1,"Minganga"
