"residence_camp","ref","sex","birthplace","age","name","distance","activity","region"
"Wongo2","BE75","M","Bétou","Adulte","V14",1176.19480310018,"friend_visit","betou"
"Wongo2","BE75","M","Bétou","Adulte","V15",1270.10943228734,"friend_visit","betou"
"Wongo3","BE76","F","","Adulte","V8",62.0680441912924,"friend_visit","betou"
"Wongo3","BE77","F","Kenkenze","Adulte","V8",62.0680441912924,"friend_visit","betou"
"Wongo3","BE77","F","Kenkenze","Adulte","V10",131.594846860887,"friend_visit","betou"
"Wongo3","BE77","F","Kenkenze","Adulte","V11",450.129624156412,"friend_visit","betou"
"Wongo3","BE77","F","Kenkenze","Adulte","V12",771.506739925949,"friend_visit","betou"
"Wongo3","BE77","F","Kenkenze","Adulte","V13",841.828490583558,"friend_visit","betou"
"Wongo2","BE79","F","Kenkenze","Adulte","V9",62.0680441912924,"friend_visit","betou"
"Wongo2","BE79","F","Kenkenze","Adulte","V10",141.044613212853,"friend_visit","betou"
"Wongo1","BE80","M","","Adulte","V8",745.615800059294,"friend_visit","betou"
"Wongo1","BE80","M","","Adulte","V9",684.523162201362,"friend_visit","betou"
"Wongo1","BE80","M","","Adulte","V10",729.946678511615,"friend_visit","betou"
"Wongo1","BE80","M","","Adulte","V11",862.155913126479,"friend_visit","betou"
"Wongo1","BE82","M","Kenkenze","Adulte","V10",729.946678511615,"friend_visit","betou"
"Wongo1","BE82","M","Kenkenze","Adulte","V11",862.155913126479,"friend_visit","betou"
"Wongo1","BE82","M","Kenkenze","Adulte","V12",1070.42584484132,"friend_visit","betou"
"Wongo1","BE82","M","Kenkenze","Adulte","V13",1096.80100521821,"friend_visit","betou"
"Wongo1","BE84","F","Mongoumba(Centrafrique)","Adulte","V11",862.155913126479,"friend_visit","betou"
"Wongo1","BE84","F","Mongoumba(Centrafrique)","Adulte","V12",1070.42584484132,"friend_visit","betou"
"Koueta","BE90","M","Wongo1","Adulte","V5",164.098383315161,"friend_visit","betou"
"Popo2","BE91","F","Wongo2","Adulte","V5",87.547799745501,"friend_visit","betou"
"Popo2","BE91","F","Wongo2","Adulte","V6",239.982576047827,"friend_visit","betou"
"Popo2","BE93","M","Wongo4","Adulte","V5",87.547799745501,"friend_visit","betou"
"Bobo1","BE107","F","Enyelle","Adulte","V23",570.637756133114,"friend_visit","betou"
"Bobo1","BE107","F","Enyelle","Adulte","V24",573.314519672603,"friend_visit","betou"
"Bobo1","BE107","F","Enyelle","Adulte","V65",457575.738900553,"friend_visit","betou"
"Bobo1","BE108","M","","Adulte","V23",570.637756133114,"friend_visit","betou"
"Bobo1","BE108","M","","Adulte","V24",573.314519672603,"friend_visit","betou"
"Bobo1","BE109","M","Bétou","Adulte","V23",570.637756133114,"friend_visit","betou"
"Bobo1","BE109","M","Bétou","Adulte","V24",573.314519672603,"friend_visit","betou"
"Ngola2","BE114","M","","Adolescent","V17",101.935440679664,"friend_visit","betou"
"Ngola2","BE114","M","","Adolescent","V19",156.287451415125,"friend_visit","betou"
"Bobo1","BE115","F","Boyelé","Adulte","V24",573.314519672603,"friend_visit","betou"
"Ngola2","BE117","F","Bétou","Adulte","V17",101.935440679664,"friend_visit","betou"
"Ngola2","BE117","F","Bétou","Adulte","V19",156.287451415125,"friend_visit","betou"
"Wongo5","BE8","F","","Adulte","V15",1100.94942371367,"gather","betou"
"Wongo3","BE12","F","","Adulte","V11",450.129624156412,"gather","betou"
"Wongo3","BE12","F","","Adulte","V13",841.828490583558,"gather","betou"
"Wongo3","BE12","F","","Adulte","V15",1211.96981216187,"gather","betou"
"Koueta","BE19","F","Wongo1","Personne âgée","V1",8426.33787066172,"gather","betou"
"Koueta","BE19","F","Wongo1","Personne âgée","V2",6057.60574971117,"gather","betou"
"Wongo1","BE21","F","","Personne âgée","V9",684.523162201362,"gather","betou"
"Popo1","BE31","M","Bétou","Adulte","V4",3920.87992144392,"gather","betou"
"Bobo1","BE32","F","Enyelle","Adulte","V23",570.637756133114,"gather","betou"
"Popo3","BE39","F","Bétou","Adulte","V3",3992.7576761351,"gather","betou"
"Ngola3","BE61","F","Enyelle","Adulte","V41",37553.7139342612,"gather","betou"
"Popo1","BE94","M","","Adulte","V4",3920.87992144392,"gather","betou"
"Popo1","BE94","M","","Adulte","V5",3992.7576761351,"gather","betou"
"Mondika","BE128","M","Bétou","Adolescent","V22",7486.77405207569,"gather","betou"
"Mondika","BE128","M","Bétou","Adolescent","V23",7445.23624227663,"gather","betou"
"Mondika","BE128","M","Bétou","Adolescent","V24",7425.05111960083,"gather","betou"
"Mondika","BE129","F","Bétou","Adulte","V22",7486.77405207569,"gather","betou"
"Mondika","BE121","M","Bétou","Adulte","V20",3375.2848820516,"hunt","betou"
"Mondika","BE121","M","Bétou","Adulte","V24",7425.05111960083,"hunt","betou"
"Wongo5","BE4","M","Ngongou","Adulte","V7",862.155913126479,"just_visit","betou"
"Wongo5","BE4","M","Ngongou","Adulte","V8",458.550417275102,"just_visit","betou"
"Wongo5","BE4","M","Ngongou","Adulte","V9",450.129624156412,"just_visit","betou"
"Wongo3","BE10","M","Kenkenze","Adulte","V13",841.828490583558,"just_visit","betou"
"Wongo3","BE10","M","Kenkenze","Adulte","V14",1160.68810129554,"just_visit","betou"
"Wongo3","BE10","M","Kenkenze","Adulte","V15",1211.96981216187,"just_visit","betou"
"Wongo3","BE12","F","","Adulte","V12",771.506739925949,"just_visit","betou"
"Wongo2","BE13","M","Bétou","Personne âgée","V11",458.550417275102,"just_visit","betou"
"Wongo2","BE13","M","Bétou","Personne âgée","V12",780.616818305202,"just_visit","betou"
"Wongo2","BE13","M","Bétou","Personne âgée","V13",854.10138808547,"just_visit","betou"
"Wongo2","BE13","M","Bétou","Personne âgée","V14",1176.19480310018,"just_visit","betou"
"Wongo2","BE13","M","Bétou","Personne âgée","V15",1270.10943228734,"just_visit","betou"
"Wongo3","BE15","M","Kenkenze","Adulte","V13",841.828490583558,"just_visit","betou"
"Wongo3","BE15","M","Kenkenze","Adulte","V14",1160.68810129554,"just_visit","betou"
"Wongo3","BE15","M","Kenkenze","Adulte","V15",1211.96981216187,"just_visit","betou"
"Koueta","BE19","F","Wongo1","Personne âgée","V4",239.982576047827,"just_visit","betou"
"Wongo1","BE20","M","Mongoumba","Personne âgée","V11",862.155913126479,"just_visit","betou"
"Wongo1","BE20","M","Mongoumba","Personne âgée","V78",1569.03189911559,"just_visit","betou"
"Wongo1","BE21","F","","Personne âgée","V78",1569.03189911559,"just_visit","betou"
"Popo1","BE31","M","Bétou","Adulte","V1",4888.71977624945,"just_visit","betou"
"Popo1","BE31","M","Bétou","Adulte","V5",3992.7576761351,"just_visit","betou"
"Bobo1","BE32","F","Enyelle","Adulte","V24",573.314519672603,"just_visit","betou"
"Popo1","BE33","F","","Adulte","V1",4888.71977624945,"just_visit","betou"
"Bobo1","BE48","M","Bétou","Adulte","V2",3426.43822528737,"just_visit","betou"
"Bobo1","BE48","M","Bétou","Adulte","V23",570.637756133114,"just_visit","betou"
"Bobo1","BE48","M","Bétou","Adulte","V24",573.314519672603,"just_visit","betou"
"Bobo1","BE50","F","Bétou","Adolescent","V42",20030.300121231,"just_visit","betou"
"Bobo1","BE51","M","","Adulte","V5",9322.65975117146,"just_visit","betou"
"Bobo1","BE52","F","Bobo1","Adulte","V57",156387.844005655,"just_visit","betou"
"Ngola3","BE61","F","Enyelle","Adulte","V17",226.498625857612,"just_visit","betou"
"Wongo1","BE82","M","Kenkenze","Adulte","V29",337529.623445679,"just_visit","betou"
"Wongo1","BE82","M","Kenkenze","Adulte","V56",267172.716164837,"just_visit","betou"
"Mondika","BE129","F","Bétou","Adulte","V18",1481.81118478983,"just_visit","betou"
"Mondika","BE129","F","Bétou","Adulte","V19",1621.49913960182,"just_visit","betou"
"Popo3","BE26","M","Bétou","Adulte","V2",5901.46102763287,"live","betou"
"Popo3","BE26","M","Bétou","Adulte","V42",16988.5136699146,"live","betou"
"Popo1","BE31","M","Bétou","Adulte","V42",16786.1996039867,"live","betou"
"Popo3","BE36","M","Bétou","Adulte","V2",5901.46102763287,"live","betou"
"Popo3","BE36","M","Bétou","Adulte","V42",16988.5136699146,"live","betou"
"Popo3","BE39","F","Bétou","Adulte","V1",8278.51669856986,"live","betou"
"Ngola3","BE61","F","Enyelle","Adulte","V36",47609.5202957736,"live","betou"
"Wongo5","BE63","M","Kenkenze","Adulte","V78",2401.7019833776,"live","betou"
"Wongo5","BE64","F","","Adolescent","V78",2401.7019833776,"live","betou"
"Wongo5","BE65","F","","Adolescent","V78",2401.7019833776,"live","betou"
"Wongo5","BE66","F","Bétou","Adulte","V78",2401.7019833776,"live","betou"
"Koueta","BE86","F","(Centrafrique)","Personne âgée","V42",17023.4994429199,"live","betou"
"Koueta","BE90","M","Wongo1","Adulte","V42",17023.4994429199,"live","betou"
"Popo1","BE94","M","","Adulte","V42",16786.1996039867,"live","betou"
"Bobo1","BE102","F","Bétou","Adulte","V42",20030.300121231,"live","betou"
"Bobo1","BE107","F","Enyelle","Adulte","V36",41908.8680516593,"live","betou"
"Ngola2","BE114","M","","Adolescent","V42",14245.6387566159,"live","betou"
"Bobo1","BE115","F","Boyelé","Adulte","V36",41908.8680516593,"live","betou"
"Bobo1","BE115","F","Boyelé","Adulte","V42",20030.300121231,"live","betou"
"Ngola2","BE117","F","Bétou","Adulte","V42",14245.6387566159,"live","betou"
"Mondika","BE124","F","Bétou","Adolescent","V42",12796.6505218314,"live","betou"
"Sobé","E106","F","Enyelle","Adolescent","V27",3079.55857038282,"dance","enyelle"
"Molapa_EN","E108","F","Enyelle","Adulte","V27",2813.93587762802,"dance","enyelle"
"Molapa_EN","E108","F","Enyelle","Adulte","V51",26090.9734223986,"dance","enyelle"
"Molapa_EN","E110","M","Enyelle","Adolescent","V27",2813.93587762802,"dance","enyelle"
"Molapa_EN","E110","M","Enyelle","Adolescent","V51",26090.9734223986,"dance","enyelle"
"Kombo2","E121","F","Enyelle","Adulte","V27",2531.45169856961,"dance","enyelle"
"Kombo2","E121","F","Enyelle","Adulte","V42",39271.8686010244,"dance","enyelle"
"Kombo2","E123","F","Enyelle","Adolescent","V27",2531.45169856961,"dance","enyelle"
"Kombo2","E124","F","Enyelle","Personne âgée","V27",2531.45169856961,"dance","enyelle"
"Kombo2","E125","F","Enyelle","Adolescent","V27",2531.45169856961,"dance","enyelle"
"Kombo2","E127","F","Enyelle","Adolescent","V27",2531.45169856961,"dance","enyelle"
"Bopongo","E129","M","Boyelé","Adulte","V43",34279.7378552076,"dance","enyelle"
"Bopongo","E129","M","Boyelé","Adulte","V49",42169.0688285627,"dance","enyelle"
"Bopongo","E132","M","Boyelé","Adulte","V43",34279.7378552076,"dance","enyelle"
"Bopongo","E134","F","Enyelle","Adulte","V51",23352.2033650519,"dance","enyelle"
"Bopongo","E143","F","Enyelle","Adulte","V22",14843.8214571404,"dance","enyelle"
"Coconacoco1","E147","F","Bongoye","Adulte","V27",897.624516587003,"dance","enyelle"
"Coconacoco1","E147","F","Bongoye","Adulte","V31",1924.38521307363,"dance","enyelle"
"Coconacoco1","E151","M","Enyelle","Adolescent","V27",897.624516587003,"dance","enyelle"
"Coconacoco1","E152","F","Enyelle","Adulte","V27",897.624516587003,"dance","enyelle"
"Coconacoco1","E152","F","Enyelle","Adulte","V51",24242.0491909355,"dance","enyelle"
"Coconacoco1","E156","F","Enyelle","Adulte","V43",33392.0266317909,"dance","enyelle"
"Coconacoco1","E158","F","Enyelle","Adulte","V27",897.624516587003,"dance","enyelle"
"Coconacoco1","E161","F","Bongoye","Adolescent","V27",897.624516587003,"dance","enyelle"
"Coconacoco1","E162","F","Enyelle","Personne âgée","V27",897.624516587003,"dance","enyelle"
"Coconacoco1","E164","M","Mimbelli","Adulte","V27",897.624516587003,"dance","enyelle"
"Coconacoco1","E176","M","Coconacoco1","Adulte","V42",40880.1029341965,"dance","enyelle"
"Coconacoco1","E176","M","Coconacoco1","Adulte","V43",33392.0266317909,"dance","enyelle"
"Bopongo","E196","F","Mimbelli","Adulte","V43",34279.7378552076,"dance","enyelle"
"Coconacoco1","E215","F","Enyelle","Personne âgée","V43",33392.0266317909,"dance","enyelle"
"Coconacoco1","E238","F","Enyelle","Personne âgée","V43",33392.0266317909,"dance","enyelle"
"Ngouanguébé","E25","M","Enyelle","Adulte","V23",8176.21653346782,"dance","enyelle"
"Coconacoco2","E272","F","Mimputu","Adulte","V43",33475.606540725,"dance","enyelle"
"Essembo1","E32","M","Essembo1","Adulte","V8",6760.86337963812,"dance","enyelle"
"Essembo1","E34","F","Enyelle","Personne âgée","V49",31972.0951744132,"dance","enyelle"
"Essembo1","E37","F","Enyelle","Personne âgée","V49",31972.0951744132,"dance","enyelle"
"Misseké","E39","F","Mokinda","Adulte","V50",52247.007957094,"dance","enyelle"
"Mossomé","E47","F","Enyelle","Adulte","V14",3147.6351801515,"dance","enyelle"
"Mossomé","E48","F","","Adulte","V22",12331.2572009051,"dance","enyelle"
"Mossomé","E48","F","","Adulte","V23",11928.8761232257,"dance","enyelle"
"Mossomé","E48","F","","Adulte","V51",32081.8784471813,"dance","enyelle"
"Mossomé","E50","F","Landza","Adulte","V23",11928.8761232257,"dance","enyelle"
"Lokoko4","E53","M","Enyelle","Adulte","V51",29044.3763270482,"dance","enyelle"
"Lokoko2","E58","M","Bétou","Adulte","V51",28900.6169470762,"dance","enyelle"
"Lokoko4","E59","F","Enyelle","Adulte","V51",29044.3763270482,"dance","enyelle"
"Mossomé","E64","M","Enyelle","Adulte","V50",55204.0192265266,"dance","enyelle"
"Lokoko6","E72","M","Essembo","Adolescent","V22",13673.3819162045,"dance","enyelle"
"Lokoko6","E72","M","Essembo","Adolescent","V23",14256.8995803071,"dance","enyelle"
"Lokoko1","E76","F","Enyelle","Adulte","V51",27815.2965443691,"dance","enyelle"
"Lokoko1","E94","M","Enyelle","Adulte","V22",13746.0410701778,"dance","enyelle"
"Lokoko1","E94","M","Enyelle","Adulte","V35",72659.814561325,"dance","enyelle"
"Lokoko1","E94","M","Enyelle","Adulte","V45",12642.1582359906,"dance","enyelle"
"Sobé","E104","M","Enyelle","Adulte","V22",12364.9746863724,"fam_visit","enyelle"
"Sobé","E104","M","Enyelle","Adulte","V42",40683.8383252678,"fam_visit","enyelle"
"Sobé","E104","M","Enyelle","Adulte","V43",32727.5660295331,"fam_visit","enyelle"
"Sobé","E104","M","Enyelle","Adulte","V51",25743.5000152573,"fam_visit","enyelle"
"Molapa_EN","E108","F","Enyelle","Adulte","V42",38987.7735191422,"fam_visit","enyelle"
"Molapa_EN","E110","M","Enyelle","Adolescent","V32",2750.73813670969,"fam_visit","enyelle"
"Molapa_EN","E110","M","Enyelle","Adolescent","V42",38987.7735191422,"fam_visit","enyelle"
"Kombo2","E114","M","Dongou","Adulte","V35",64984.2980268151,"fam_visit","enyelle"
"Kombo2","E114","M","Dongou","Adulte","V36",51951.5436331036,"fam_visit","enyelle"
"Kombo2","E114","M","Dongou","Adulte","V38",97825.5735164673,"fam_visit","enyelle"
"Kombo2","E114","M","Dongou","Adulte","V39",106865.98698654,"fam_visit","enyelle"
"Kombo2","E114","M","Dongou","Adulte","V43",31751.9115183544,"fam_visit","enyelle"
"Kombo2","E114","M","Dongou","Adulte","V49",40023.6226106578,"fam_visit","enyelle"
"Kombo2","E114","M","Dongou","Adulte","V50",67902.6177929762,"fam_visit","enyelle"
"Kombo2","E115","F","Enyelle","Adolescent","V33",72531.4615556838,"fam_visit","enyelle"
"Kombo2","E115","F","Enyelle","Adolescent","V35",64984.2980268151,"fam_visit","enyelle"
"Kombo2","E115","F","Enyelle","Adolescent","V51",25823.6831635475,"fam_visit","enyelle"
"Kombo2","E121","F","Enyelle","Adulte","V43",31751.9115183544,"fam_visit","enyelle"
"Kombo2","E121","F","Enyelle","Adulte","V51",25823.6831635475,"fam_visit","enyelle"
"Kombo2","E124","F","Enyelle","Personne âgée","V51",25823.6831635475,"fam_visit","enyelle"
"Kombo2","E125","F","Enyelle","Adolescent","V51",25823.6831635475,"fam_visit","enyelle"
"Kombo2","E127","F","Enyelle","Adolescent","V35",64984.2980268151,"fam_visit","enyelle"
